area,type,room,sqm,price,price/sqm,rooms
Kallio,Kerrostalo,"1h, kk",28.5,225000,7895,1
Malmi,Kerrostalo,"1h, kk, ikkunal...",33.0,106000,3212,1
Harju,Kerrostalo,1h+kph,24.0,195000,8125,1
Kamppi,Kerrostalo,"1h, kk, alkovi,...",32.0,294000,9188,1
Lauttasaari,Kerrostalo,"1h, avok. kph, ...",33.0,215000,6515,1
Etu-töölö,Kerrostalo,"1h, avok., kph, et",23.0,220000,9565,1
Etu-töölö,Kerrostalo,"1h,kk,kph",27.5,205000,7455,1
Taka-töölö,Kerrostalo,"1h, kk, kph",20.4,170000,8333,1
Kallio,Kerrostalo,1h+kk,22.0,173000,7864,1
Malmi,Kerrostalo,"1 h, avokeitti&...",31.0,139000,4484,1
Mellunmäki,Kerrostalo,1h+k+kph+las.pa...,33.5,106000,3164,1
Töölö,Kerrostalo,1 h + kph,26.3,223500,8498,1
Ruskeasuo,Kerrostalo,1h+kk,27.0,195000,7222,1
Puotila,Kerrostalo,"1h, kk, kph, pa...",28.0,164000,5857,1
Punavuori,Kerrostalo,"1h, k, kph, eri...",30.0,317000,10567,1
Sörnäinen,Kerrostalo,"1h, alk, k, kph",44.0,195000,4432,1
Alppila,Kerrostalo,"1h, k ",42.0,262000,6238,1
Ullanlinna,Kerrostalo,"1h, keittonurkk...",17.0,245000,14412,1
Torkkelinmäki,Kerrostalo,"1h,avokeitti...",22.7,216000,9515,1
Herttoniemi,Kerrostalo,"1h, kk, kph",31.0,163500,5274,1
Sörnäinen,Kerrostalo,"1h,k,vah,et,kph",36.0,243300,6758,1
Kallio,Kerrostalo,1h+k,37.0,252000,6811,1
Kivikko,Kerrostalo,"1h,alk,kk,kph,s...",40.0,170000,4250,1
Kannelmäki,Kerrostalo,1h + kk,25.0,141250,5650,1
Käpylä,Kerrostalo,"1h, k, vh, kph",28.5,210500,7386,1
Merihaka,Kerrostalo,"1h, kk",32.0,190000,5938,1
Ullanlinna,Kerrostalo,"1h, kk, kph, s,...",33.0,365000,11061,1
Etelä-haaga,Kerrostalo,"1 h, kk, kh",25.0,156000,6240,1
