price,rooms,size,type,area
775 000 €,"3 h, k, kph/ wc (yj muk. 3h+k)","86,2 m²",Kerrostalo,Etu-Töölö
409 000 €,3h+kt+s+piha ja terassi (Yj:n mukaan 3h+kt+s),82 m²,Paritalo,Malmi
315 000 €,4h+kph+wc+vh+lasitettu parveke (yhtiöjärjestyksen mukaan 3-4h+avok+s),"80,5 m²",Kerrostalo,Vuosaari
229 000 €,3h+kk+kph+s+wc+p+piha (yhtiöjärjestyksen mukaan 3h+k+s),78 m²,Rivitalo,Siltamäki
228 000 €,2h+kk+kph+parveke (yhtiöjärjestyksen mukaan 2h+kk),43 m²,Kerrostalo,Lauttasaari
375 000 €,2h + k + p,"39,5 m²",Kerrostalo,Jätkäsaari
615 000 €,"3h, k, kph",82 m²,Kerrostalo,Hakaniemi
230 000 €,"2h,keittokomero,kph","32,5 m²",Kerrostalo,Taka-Töölö
189 000 €,1 H + KK,21 m²,Kerrostalo,Kallio
498 000 €,4h+k+2x kph+s+erillinen wc+takkahuone+piha,131 m²,Paritalo,Maununneva
658 000 €,2h+k+kph (YJ: 3h+k),"86,3 m²",Kerrostalo,Hakaniemi
829 000 €,"4h, avok., saunaos., wc, lasit. parveke","90,5 m²",Kerrostalo,Sompasaari
280 000 €,"1h, k, et, kph",33 m²,Kerrostalo,Punavuori
330 000 €,3h + avok + p + vh,72 m²,Kerrostalo,Viikki
388 000 €,"2h, avok, kph (yj:n mukaan 2h+kk).",47 m²,Kerrostalo,Munkkiniemi
175 000 €,2h+k+kph+s+vh+las.parveke,"64,5 m²",Kerrostalo,Malmi
237 000 €,Kaunis parvekkeellinen koti v.2019 valmistuneessa talossa.,"51,5 m²",Kerrostalo,Kuninkaantammi
325 000 €,"2h, avok, kph (Yj. mukaan 2h+k)",44 m²,Kerrostalo,Meilahti
216 000 €,"1h, kt, kph, ranskalainen parveke","26,5 m²",Kerrostalo,Etelä-Haaga
439 000 €,"2h, k, kph, et","52,4 m²",Kerrostalo,Etu-Töölö
469 000 €,5h + k + s + p,101 m²,Kerrostalo,Postipuisto
319 000 €,2h+k,"58,5 m²",Kerrostalo,Lauttasaari
382 000 €,3h + k + kph + vh + parveke,"68,5 m²",Kerrostalo,Katajanokka
409 000 €,"3h,k,kph,s,lasitettu parveke","64,5 m²",Kerrostalo,Vanhankaupunginkoski
264 000 €,"1h, k, kph, erillis wc, et.",39 m²,Kerrostalo,Alppila
528 600 €,"2 h, keittiö",73 m²,Kerrostalo,Töölö
248 000 €,2h+k+kph+parv,58 m²,Kerrostalo,Maunula
448 000 €,"2h, k, kph, v, lasit. p","55,5 m²",Kerrostalo,Kamppi
295 000 €,3h+k+wc+kph/sauna+vh+ulkovarasto+pihat (yhtj.mukaan 3h+k+s,"77,5 m²",Paritalo,Malmi
