area,type,room,sqm,price,price/sqm
Kallio,kt,"1h, kk","28,50",225000,7895
Malmi,kt,"1h, kk, ikkunal...","33,00",106000,3212
Harju,kt,1h+kph,"24,00",195000,8125
Kamppi,kt,"1h, kk, alkovi,...","32,00",294000,9188
Lauttasaari,kt,"1h, avok. kph, ...","33,00",215000,6515
Etu-töölö,kt,"1h, avok., kph, et","23,00",220000,9565
Etu-töölö,kt,"1h,kk,kph","27,50",205000,7455
Taka-töölö,kt,"1h, kk, kph","20,40",170000,8333
Kallio,kt,1h+kk,"22,00",173000,7864
Malmi,kt,"1 h, avokeitti&...","31,00",139000,4484
Mellunmäki,kt,1h+k+kph+las.pa...,"33,50",106000,3164
Töölö,kt,1 h + kph,"26,30",223500,8498
Ruskeasuo,kt,1h+kk,"27,00",195000,7222
Puotila,kt,"1h, kk, kph, pa...","28,00",164000,5857
Punavuori,kt,"1h, k, kph, eri...","30,00",317000,10567
Sörnäinen,kt,"1h, alk, k, kph","44,00",195000,4432
Alppila,kt,"1h, k ","42,00",262000,6238
Ullanlinna,kt,"1h, keittonurkk...","17,00",245000,14412
Torkkelinmäki,kt,"1h,avokeitti...","22,70",216000,9515
Herttoniemi,kt,"1h, kk, kph","31,00",163500,5274
Sörnäinen,kt,"1h,k,vah,et,kph","36,00",243300,6758
Kallio,kt,1h+k,"37,00",252000,6811
Kivikko,kt,"1h,alk,kk,kph,s...","40,00",170000,4250
Kannelmäki,kt,1h + kk,"25,00",141250,5650
Käpylä,kt,"1h, k, vh, kph","28,50",210500,7386
Merihaka,kt,"1h, kk","32,00",190000,5938
Ullanlinna,kt,"1h, kk, kph, s,...","33,00",365000,11061
Etelä-haaga,kt,"1 h, kk, kh","25,00",156000,6240
Harju,kt,1h+kk+lasitettu...,"30,00",202000,6733
Etelä-haaga,kt,"1h+alkovi, avok...","27,00",191000,7074
Pukinmäki,kt,1h+k+kph+las.pa...,"31,50",150000,4762
Vallila,kt,"1h,k,alk,kh","40,50",270000,6667
Herttoniemi,kt,"1 h, k, kph","42,00",245000,5833
Vallila,kt,1h+avok+kph,"23,00",196000,8522
Punavuori,kt,1h+k+m.alk.+wc,"36,00",290000,8056
Vuosaari,kt,"1h, kk, kph, la...","32,00",145000,4531
Sörnäinen,kt,1h,"23,00",162000,7043
Hakaniemi,kt,"1h,kk,wc/suihku","25,00",160000,6400
Kallio,kt,1h+k,"45,00",293000,6511
Kannelmäki,kt,"1h, avok, kph","27,00",135000,5000
Etelä-haaga,kt,1h+avok.+kph+vh...,"27,00",211500,7833
